Cell ID,PseudoTime,Time,Experiment
E14365_1022,0.511255627813907,1022.0,14365
E6297_698,0.3491745872936468,698.0,6297
E6794_425,0.2126063031515757,425.0,6794
E12866_1085,0.5427713856928464,1085.0,12866
E13120_1624,0.8124062031015508,1624.0,13120
E19052_1671,0.8359179589794897,1671.0,19052
E8207_1383,0.6918459229614807,1383.0,8207
E9414_1942,0.9714857428714356,1942.0,9414
E10274_230,0.1150575287643821,230.0,10274
E7621_270,0.1350675337668834,270.0,7621
E12902_532,0.2661330665332666,532.0,12902
E13281_456,0.2281140570285142,456.0,13281
E7187_128,0.064032016008004,128.0,7187
E7024_1540,0.7703851925962981,1540.0,7024
E10161_296,0.1480740370185092,296.0,10161
E12092_399,0.1995997998999499,399.0,12092
E17568_914,0.4572286143071535,914.0,17568
E686_1831,0.9159579789894948,1831.0,686
E10977_1318,0.6593296648324162,1318.0,10977
E15207_821,0.4107053526763382,821.0,15207
E727_1701,0.8509254627313657,1701.0,727
E2520_62,0.0310155077538769,62.0,2520
E7332_903,0.4517258629314657,903.0,7332
E16736_344,0.1720860430215107,344.0,16736
E14506_1766,0.8834417208604303,1766.0,14506
E18218_1959,0.9799899949974988,1959.0,18218
E6116_992,0.496248124062031,992.0,6116
E4904_302,0.1510755377688844,302.0,4904
E8543_1003,0.5017508754377189,1003.0,8543
E800_1049,0.5247623811905953,1049.0,800
E11263_899,0.4497248624312156,899.0,11263
E13888_816,0.4082041020510255,816.0,13888
E13976_658,0.3291645822911456,658.0,13976
E19925_759,0.3796898449224612,759.0,19925
E7924_1154,0.5772886443221611,1154.0,7924
E10328_1162,0.5812906453226613,1162.0,10328
E424_789,0.3946973486743371,789.0,424
E17312_1893,0.9469734867433716,1893.0,17312
E19291_390,0.1950975487743872,390.0,19291
E1062_1061,0.5307653826913457,1061.0,1062
E8537_1077,0.5387693846923461,1077.0,8537
E5988_884,0.4422211105552776,884.0,5988
E14445_1648,0.8244122061030515,1648.0,14445
E16067_95,0.0475237618809404,95.0,16067
E19346_1058,0.5292646323161581,1058.0,19346
E8721_290,0.145072536268134,290.0,8721
E6840_744,0.3721860930465233,744.0,6840
E15019_1971,0.9859929964982492,1971.0,15019
E6807_1235,0.6178089044522261,1235.0,6807
E17120_1408,0.704352176088044,1408.0,17120
E8782_1944,0.9724862431215608,1944.0,8782
E18134_146,0.0730365182591295,146.0,18134
E3857_1285,0.6428214107053527,1285.0,3857
E18053_376,0.1880940470235117,376.0,18053
E7862_689,0.344672336168084,689.0,7862
E15873_130,0.065032516258129,130.0,15873
E6860_1680,0.8404202101050525,1680.0,6860
E2077_1174,0.5872936468234117,1174.0,2077
E4348_1608,0.8044022011005503,1608.0,4348
E19655_498,0.2491245622811405,498.0,19655
E173_651,0.3256628314157078,651.0,173
E1850_1273,0.6368184092046023,1273.0,1850
E16168_210,0.1050525262631315,210.0,16168
E7874_118,0.0590295147573786,118.0,7874
E4261_1820,0.9104552276138068,1820.0,4261
E11089_1676,0.8384192096048024,1676.0,11089
E3189_1920,0.96048024012006,1920.0,3189
E14795_922,0.4612306153076538,922.0,14795
E11837_314,0.1570785392696348,314.0,11837
E5864_693,0.3466733366683341,693.0,5864
E523_1359,0.6798399199599799,1359.0,523
E627_788,0.3941970985492746,788.0,627
E13154_395,0.1975987993996998,395.0,13154
E2979_865,0.4327163581790895,865.0,2979
E19347_1881,0.9409704852426212,1881.0,19347
E13584_814,0.4072036018009004,814.0,13584
E16189_1699,0.8499249624812406,1699.0,16189
E13200_1005,0.5027513756878439,1005.0,13200
E17308_86,0.0430215107553776,86.0,17308
E16510_137,0.0685342671335667,137.0,16510
E18301_197,0.0985492746373186,197.0,18301
E13543_556,0.2781390695347673,556.0,13543
E9007_377,0.1885942971485742,377.0,9007
E8382_730,0.3651825912956478,730.0,8382
E14925_1561,0.7808904452226113,1561.0,14925
E17973_1285,0.6428214107053527,1285.0,17973
E4447_1599,0.7998999499749875,1599.0,4447
E4915_987,0.4937468734367183,987.0,4915
E7188_316,0.1580790395197598,316.0,7188
E5512_1073,0.536768384192096,1073.0,5512
E18509_629,0.3146573286643321,629.0,18509
E9115_1661,0.8309154577288644,1661.0,9115
E17102_954,0.4772386193096548,954.0,17102
E4596_919,0.4597298649324662,919.0,4596
E7794_619,0.3096548274137068,619.0,7794
E8058_418,0.209104552276138,418.0,8058
E15913_924,0.4622311155577789,924.0,15913
E7634_1053,0.5267633816908455,1053.0,7634
E11267_1096,0.5482741370685342,1096.0,11267
E15243_1775,0.887943971985993,1775.0,15243
E5623_1625,0.8129064532266133,1625.0,5623
E18670_59,0.0295147573786893,59.0,18670
E15277_1895,0.9479739869934968,1895.0,15277
E1423_499,0.2496248124062031,499.0,1423
E17441_839,0.4197098549274637,839.0,17441
